INDEX,STATUS,TID,TECHNIQUE
1,Revoked,T1002,Data Compressed
2,Revoked,T1004,Winlogon Helper DLL
3,Revoked,T1009,Binary Padding
4,Revoked,T1013,Port Monitors
5,Revoked,T1015,Accessibility Features
6,Revoked,T1017,Application Deployment Software
7,Revoked,T1019,System Firmware
8,Revoked,T1022,Data Encrypted
9,Revoked,T1023,Shortcut Modification
10,Revoked,T1024,Custom Cryptographic Protocol
11,Revoked,T1028,Windows Remote Management
12,Revoked,T1031,Modify Existing Service
13,Revoked,T1032,Standard Cryptographic Protocol
14,Revoked,T1035,Service Execution
15,Revoked,T1038,DLL Search Order Hijacking
16,Revoked,T1042,Change Default File Association
17,Revoked,T1044,File System Permissions Weakness
18,Revoked,T1045,Software Packing
19,Revoked,T1050,New Service
20,Revoked,T1054,Indicator Blocking
21,Revoked,T1058,Service Registry Permissions Weakness
22,Revoked,T1060,Registry Run Keys / Startup Folder
23,Revoked,T1063,Security Software Discovery
24,Revoked,T1065,Uncommonly Used Port
25,Revoked,T1066,Indicator Removal from Tools
26,Revoked,T1067,Bootkit
27,Revoked,T1073,DLL Side-Loading
28,Revoked,T1075,Pass the Hash
29,Revoked,T1076,Remote Desktop Protocol
30,Revoked,T1077,Windows Admin Shares
31,Revoked,T1079,Multilayer Encryption
32,Revoked,T1081,Credentials in Files
33,Revoked,T1084,Windows Management Instrumentation Event Subscription
34,Revoked,T1085,Rundll32
35,Revoked,T1086,PowerShell
36,Revoked,T1088,Bypass User Account Control
37,Revoked,T1089,Disabling Security Tools
38,Revoked,T1093,Process Hollowing
39,Revoked,T1094,Custom Command and Control Protocol
40,Revoked,T1096,NTFS File Attributes
41,Revoked,T1097,Pass the Ticket
42,Revoked,T1099,Timestomp
43,Revoked,T1100,Web Shell
44,Revoked,T1101,Security Support Provider
45,Revoked,T1103,AppInit DLLs
46,Revoked,T1107,File Deletion
47,Revoked,T1109,Component Firmware
48,Revoked,T1116,Code Signing
49,Revoked,T1117,Regsvr32
50,Revoked,T1118,InstallUtil
51,Revoked,T1121,Regsvcs/Regasm
52,Revoked,T1122,Component Object Model Hijacking
53,Revoked,T1126,Network Share Connection Removal
54,Revoked,T1128,Netsh Helper DLL
55,Revoked,T1130,Install Root Certificate
56,Revoked,T1131,Authentication Package
57,Revoked,T1138,Application Shimming
58,Revoked,T1139,Bash History
59,Revoked,T1141,Input Prompt
60,Revoked,T1142,Keychain
61,Revoked,T1143,Hidden Window
62,Revoked,T1144,Gatekeeper Bypass
63,Revoked,T1145,Private Keys
64,Revoked,T1146,Clear Command History
65,Revoked,T1147,Hidden Users
66,Revoked,T1148,HISTCONTROL
67,Revoked,T1150,Plist Modification
68,Revoked,T1151,Space after Filename
69,Revoked,T1152,Launchctl
70,Revoked,T1154,Trap
71,Revoked,T1155,AppleScript
72,Revoked,T1156,.bash_profile and .bashrc
73,Revoked,T1157,Dylib Hijacking
74,Revoked,T1158,Hidden Files and Directories
75,Revoked,T1159,Launch Agent
76,Revoked,T1160,Launch Daemon
77,Revoked,T1161,LC_LOAD_DYLIB Addition
78,Revoked,T1162,Login Item
79,Revoked,T1163,Rc.common
80,Revoked,T1164,Re-opened Applications
81,Revoked,T1165,Startup Items
82,Revoked,T1166,Setuid and Setgid
83,Revoked,T1167,Securityd Memory
84,Revoked,T1168,Local Job Scheduling
85,Revoked,T1169,Sudo
86,Revoked,T1170,Mshta
87,Revoked,T1171,LLMNR/NBT-NS Poisoning and Relay
88,Revoked,T1172,Domain Fronting
89,Revoked,T1173,Dynamic Data Exchange
90,Revoked,T1174,Password Filter DLL
91,Revoked,T1177,LSASS Driver
92,Revoked,T1178,SID-History Injection
93,Revoked,T1179,Hooking
94,Revoked,T1180,Screensaver
95,Revoked,T1181,Extra Window Memory Injection
96,Revoked,T1182,AppCert DLLs
97,Revoked,T1183,Image File Execution Options Injection
98,Revoked,T1184,SSH Hijacking
99,Revoked,T1186,Process Doppelgänging
100,Revoked,T1188,Multi-hop Proxy
101,Revoked,T1191,CMSTP
102,Revoked,T1192,Spearphishing Link
103,Revoked,T1193,Spearphishing Attachment
104,Revoked,T1194,Spearphishing via Service
105,Revoked,T1196,Control Panel Items
106,Revoked,T1198,SIP and Trust Provider Hijacking
107,Revoked,T1206,Sudo Caching
108,Revoked,T1208,Kerberoasting
109,Revoked,T1209,Time Providers
110,Revoked,T1214,Credentials in Registry
111,Revoked,T1215,Kernel Modules and Extensions
112,Revoked,T1223,Compiled HTML File
113,Revoked,T1483,Domain Generation Algorithms
114,Revoked,T1487,Disk Structure Wipe
115,Revoked,T1488,Disk Content Wipe
116,Revoked,T1492,Stored Data Manipulation
117,Revoked,T1493,Transmitted Data Manipulation
118,Revoked,T1494,Runtime Data Manipulation
119,Revoked,T1500,Compile After Delivery
120,Revoked,T1501,Systemd Service
121,Revoked,T1502,Parent PID Spoofing
122,Revoked,T1503,Credentials from Web Browsers
123,Revoked,T1504,PowerShell Profile
124,Revoked,T1506,Web Session Cookie
125,Revoked,T1514,Elevated Execution with Prompt
126,Revoked,T1519,Emond
127,Revoked,T1522,Cloud Instance Metadata API
128,Revoked,T1527,Application Access Token
129,Revoked,T1536,Revert Cloud Instance
