ADVERSARY_NAME,apt32,lazarus-group,apt28,unc2452,wizard-spider,apt41,turla,oilrig,muddywater,patchwork,bronze-butler,apt39,apt3,fin6,dragonfly-2.0,threat-group-3390,cobalt-group,menupass,rocke,apt33,apt29,tropic-trooper,ta505,leviathan,ke3chang,magic-hound,fin7,fin8,silence,sandworm-team,soft-cell,apt1,temp.veles,kimsuky,gamaredon-group,blue-mockingbird,apt37,inception,machete,honeybee,gorgon-group,fin4,apt19,promethium,molerats,leafminer,frankenstein,apt38,night-dragon,chimera,darkhotel,stolen-pencil,rancor,fin10,deep-panda,dark-caracal,admin@338,windshift,platinum,copykittens,carbanak,apt18,the-white-company,stealth-falcon,sharpshooter,rtm,naikon,gallmaker,elderwood,blacktech,apt-c-36,whitefly,wirte,ta459,sowbug,poseidon-group,mofang,fin5,darkhydrus,cleaver,apt12,threat-group-1314,strider,silverterrier,putter-panda,equation,axiom,thrip,suckfly,orangeworm,group5,gcman,darkvishnya,apt30,winnti-group,scarlet-mimic,moafee,gold-southfield,dragonfly,apt17,apt16,taidoor,pittytiger,neodymium,monsoon,lotus-blossom,dust-storm,dragonok,charming-kitten,blackoasis,apt34
apt32,-,5%,6%,0%,0%,7%,0%,7%,4%,0%,4%,8%,8%,4%,0%,9%,0%,5%,0%,5%,0%,0%,0%,5%,11%,11%,0%,6%,6%,13%,7%,7%,8%,8%,0%,8%,0%,0%,0%,0%,0%,9%,0%,0%,0%,10%,0%,10%,0%,0%,13%,29%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,25%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
lazarus-group,5%,-,9%,0%,0%,7%,0%,7%,4%,0%,4%,8%,8%,4%,0%,9%,0%,5%,0%,9%,0%,0%,0%,5%,11%,11%,0%,6%,6%,13%,7%,7%,8%,8%,0%,8%,0%,0%,0%,0%,0%,9%,0%,0%,0%,20%,0%,10%,0%,0%,13%,29%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,25%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt28,5%,8%,-,0%,0%,7%,0%,7%,4%,0%,4%,8%,8%,4%,0%,9%,0%,5%,0%,9%,0%,0%,0%,5%,11%,11%,0%,6%,6%,13%,7%,7%,8%,8%,0%,8%,0%,0%,0%,0%,0%,9%,0%,0%,0%,20%,0%,10%,0%,0%,13%,29%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,25%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
unc2452,0%,0%,0%,-,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
wizard-spider,0%,0%,0%,3%,-,0%,0%,0%,0%,0%,0%,0%,0%,4%,8%,4%,0%,5%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt41,5%,5%,6%,0%,0%,-,0%,7%,4%,0%,4%,8%,12%,8%,4%,9%,0%,5%,0%,5%,0%,0%,0%,5%,11%,11%,0%,6%,6%,13%,7%,7%,8%,8%,0%,8%,0%,0%,0%,0%,0%,9%,0%,0%,0%,10%,0%,10%,0%,0%,13%,29%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,25%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
turla,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
oilrig,5%,5%,6%,0%,0%,7%,0%,-,19%,4%,4%,8%,16%,8%,4%,13%,0%,9%,0%,23%,0%,0%,10%,5%,16%,17%,0%,6%,6%,19%,7%,7%,8%,15%,0%,8%,8%,8%,0%,0%,0%,9%,0%,0%,10%,50%,0%,10%,0%,0%,13%,57%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,25%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
muddywater,3%,3%,3%,0%,0%,3%,0%,17%,-,4%,4%,4%,12%,8%,4%,9%,0%,5%,0%,23%,0%,0%,10%,5%,11%,11%,0%,6%,6%,13%,7%,7%,8%,8%,0%,8%,8%,8%,0%,0%,0%,0%,0%,0%,10%,50%,0%,0%,0%,0%,0%,43%,0%,0%,0%,0%,0%,0%,17%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
patchwork,0%,0%,0%,0%,0%,0%,0%,3%,4%,-,0%,0%,4%,4%,0%,0%,0%,0%,0%,5%,0%,0%,5%,0%,0%,6%,0%,0%,0%,6%,0%,0%,0%,8%,0%,0%,8%,8%,0%,0%,0%,0%,0%,0%,10%,10%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
