ADVERSARY_NAME,apt32,lazarus-group,apt28,unc2452,wizard-spider,apt41,turla,oilrig,muddywater,patchwork,bronze-butler,apt39,apt3,fin6,dragonfly-2.0,threat-group-3390,cobalt-group,menupass,rocke,apt33,apt29,tropic-trooper,ta505,leviathan,ke3chang,magic-hound,fin7,fin8,silence,sandworm-team,soft-cell,apt1,temp.veles,kimsuky,gamaredon-group,blue-mockingbird,apt37,inception,machete,honeybee,gorgon-group,fin4,apt19,promethium,molerats,leafminer,frankenstein,apt38,night-dragon,chimera,darkhotel,stolen-pencil,rancor,fin10,deep-panda,dark-caracal,admin@338,windshift,platinum,copykittens,carbanak,apt18,the-white-company,stealth-falcon,sharpshooter,rtm,naikon,gallmaker,elderwood,blacktech,apt-c-36,whitefly,wirte,ta459,sowbug,poseidon-group,mofang,fin5,darkhydrus,cleaver,apt12,threat-group-1314,strider,silverterrier,putter-panda,equation,axiom,thrip,suckfly,orangeworm,group5,gcman,darkvishnya,apt30,winnti-group,scarlet-mimic,moafee,gold-southfield,dragonfly,apt17,apt16,taidoor,pittytiger,neodymium,monsoon,lotus-blossom,dust-storm,dragonok,charming-kitten,blackoasis,apt34
apt32,-,13%,22%,16%,6%,13%,0%,3%,11%,15%,20%,4%,16%,8%,8%,9%,9%,18%,23%,0%,14%,25%,5%,10%,0%,11%,11%,12%,13%,19%,20%,13%,23%,15%,23%,23%,0%,17%,0%,9%,9%,0%,36%,30%,0%,0%,0%,20%,11%,11%,0%,14%,0%,29%,29%,0%,17%,0%,17%,33%,50%,17%,20%,0%,0%,0%,20%,0%,0%,0%,20%,25%,25%,0%,25%,25%,0%,50%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
lazarus-group,13%,-,13%,16%,13%,10%,10%,7%,4%,8%,8%,4%,8%,13%,8%,4%,4%,5%,27%,0%,9%,15%,10%,0%,0%,6%,11%,6%,13%,6%,7%,0%,15%,31%,15%,0%,0%,8%,0%,9%,9%,0%,0%,10%,0%,0%,0%,20%,22%,0%,0%,0%,0%,14%,0%,29%,0%,0%,0%,0%,33%,17%,40%,0%,0%,0%,0%,0%,20%,0%,20%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,67%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt28,18%,10%,-,10%,3%,10%,0%,3%,4%,4%,4%,0%,12%,4%,8%,4%,4%,5%,14%,0%,9%,10%,5%,0%,0%,11%,0%,12%,6%,13%,7%,7%,15%,8%,15%,8%,0%,0%,0%,9%,9%,0%,18%,0%,0%,0%,0%,20%,11%,0%,0%,0%,0%,14%,14%,0%,0%,0%,0%,33%,17%,17%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
unc2452,13%,13%,9%,-,13%,10%,3%,3%,7%,12%,12%,4%,8%,17%,8%,9%,4%,9%,23%,0%,9%,10%,10%,5%,0%,6%,11%,6%,19%,19%,0%,7%,23%,23%,23%,15%,0%,0%,0%,18%,9%,0%,9%,30%,10%,0%,0%,10%,11%,11%,13%,0%,0%,14%,0%,0%,17%,0%,0%,33%,67%,17%,20%,0%,0%,0%,0%,0%,0%,0%,20%,25%,0%,0%,25%,25%,0%,25%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,50%,0%,50%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
wizard-spider,5%,10%,3%,13%,-,7%,7%,3%,0%,8%,8%,0%,8%,17%,4%,4%,4%,5%,9%,0%,9%,10%,15%,5%,0%,6%,11%,6%,13%,6%,0%,0%,8%,15%,15%,0%,0%,0%,0%,18%,9%,0%,0%,20%,10%,0%,0%,10%,11%,0%,13%,0%,0%,14%,0%,0%,0%,0%,0%,17%,17%,17%,20%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,33%,0%,0%,67%,0%,0%,0%,50%,0%,50%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt41,10%,8%,9%,10%,6%,-,0%,7%,4%,15%,12%,4%,8%,8%,8%,9%,4%,14%,9%,0%,5%,15%,5%,5%,0%,6%,6%,12%,25%,13%,7%,7%,15%,8%,8%,8%,0%,0%,0%,18%,0%,0%,9%,20%,10%,0%,0%,20%,0%,11%,13%,0%,0%,14%,0%,14%,17%,0%,0%,17%,17%,17%,20%,0%,0%,0%,20%,0%,0%,0%,0%,25%,0%,0%,25%,25%,0%,50%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,50%,0%,50%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
turla,0%,8%,0%,3%,6%,0%,-,3%,0%,4%,4%,0%,4%,4%,0%,0%,0%,0%,5%,0%,0%,5%,5%,0%,0%,0%,0%,0%,0%,0%,7%,0%,8%,8%,8%,0%,0%,0%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,11%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
oilrig,3%,5%,3%,3%,3%,7%,3%,-,0%,8%,4%,0%,8%,4%,4%,4%,4%,5%,5%,0%,5%,5%,0%,0%,0%,6%,0%,6%,13%,6%,7%,0%,15%,8%,8%,0%,0%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,14%,14%,14%,0%,0%,0%,0%,0%,17%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
muddywater,8%,3%,3%,6%,0%,3%,0%,0%,-,8%,12%,4%,4%,0%,0%,4%,9%,5%,9%,0%,9%,10%,5%,0%,0%,0%,6%,0%,6%,13%,0%,7%,8%,8%,15%,15%,15%,8%,0%,9%,0%,0%,9%,10%,0%,0%,0%,0%,0%,11%,0%,0%,0%,0%,0%,0%,17%,0%,0%,17%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,25%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
patchwork,10%,5%,3%,10%,6%,13%,3%,7%,7%,-,20%,8%,16%,8%,4%,17%,9%,18%,14%,0%,14%,15%,10%,10%,0%,6%,6%,6%,19%,13%,20%,7%,23%,8%,15%,8%,8%,0%,0%,27%,9%,0%,9%,20%,10%,0%,0%,20%,11%,11%,13%,0%,0%,14%,14%,14%,17%,0%,0%,17%,17%,17%,40%,0%,0%,0%,20%,0%,20%,0%,0%,25%,0%,0%,25%,25%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,50%,0%,0%,0%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
