ADVERSARY_NAME,apt32,lazarus-group,apt28,unc2452,wizard-spider,apt41,turla,oilrig,muddywater,patchwork,bronze-butler,apt39,apt3,fin6,dragonfly-2.0,threat-group-3390,cobalt-group,menupass,rocke,apt33,apt29,tropic-trooper,ta505,leviathan,ke3chang,magic-hound,fin7,fin8,silence,sandworm-team,soft-cell,apt1,temp.veles,kimsuky,gamaredon-group,blue-mockingbird,apt37,inception,machete,honeybee,gorgon-group,fin4,apt19,promethium,molerats,leafminer,frankenstein,apt38,night-dragon,chimera,darkhotel,stolen-pencil,rancor,fin10,deep-panda,dark-caracal,admin@338,windshift,platinum,copykittens,carbanak,apt18,the-white-company,stealth-falcon,sharpshooter,rtm,naikon,gallmaker,elderwood,blacktech,apt-c-36,whitefly,wirte,ta459,sowbug,poseidon-group,mofang,fin5,darkhydrus,cleaver,apt12,threat-group-1314,strider,silverterrier,putter-panda,equation,axiom,thrip,suckfly,orangeworm,group5,gcman,darkvishnya,apt30,winnti-group,scarlet-mimic,moafee,gold-southfield,dragonfly,apt17,apt16,taidoor,pittytiger,neodymium,monsoon,lotus-blossom,dust-storm,dragonok,charming-kitten,blackoasis,apt34
apt32,-,10%,9%,10%,19%,13%,14%,17%,19%,23%,20%,20%,12%,25%,21%,9%,30%,18%,0%,23%,14%,10%,30%,25%,11%,22%,33%,29%,44%,13%,20%,7%,15%,8%,31%,31%,23%,25%,27%,27%,36%,27%,18%,10%,50%,10%,50%,10%,11%,22%,25%,0%,57%,43%,14%,29%,33%,33%,17%,17%,0%,17%,20%,40%,40%,20%,20%,40%,40%,40%,60%,25%,50%,75%,25%,25%,50%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
lazarus-group,10%,-,9%,6%,10%,7%,10%,10%,15%,15%,16%,8%,8%,13%,13%,9%,17%,14%,0%,14%,9%,10%,20%,20%,5%,22%,22%,18%,25%,13%,13%,7%,8%,8%,23%,15%,23%,25%,9%,18%,36%,18%,18%,10%,30%,0%,40%,10%,0%,11%,25%,0%,43%,29%,14%,29%,33%,17%,17%,17%,0%,17%,20%,20%,40%,20%,20%,40%,20%,20%,40%,25%,50%,75%,25%,25%,25%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt28,8%,8%,-,6%,10%,7%,7%,10%,15%,15%,12%,8%,8%,13%,13%,9%,17%,14%,0%,9%,9%,10%,20%,15%,5%,17%,22%,18%,19%,6%,13%,7%,8%,8%,15%,15%,23%,17%,9%,9%,27%,9%,18%,10%,20%,0%,30%,10%,0%,11%,25%,0%,29%,29%,14%,29%,33%,17%,17%,17%,0%,17%,20%,20%,40%,20%,20%,60%,20%,20%,20%,25%,25%,50%,25%,25%,25%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
unc2452,8%,5%,6%,-,10%,10%,7%,10%,11%,12%,12%,8%,12%,13%,13%,9%,13%,14%,0%,9%,9%,5%,10%,10%,5%,11%,17%,18%,19%,0%,20%,7%,15%,8%,15%,23%,8%,8%,9%,9%,18%,0%,9%,0%,10%,0%,30%,10%,0%,22%,13%,0%,29%,43%,14%,14%,17%,0%,0%,17%,0%,17%,0%,40%,0%,0%,0%,20%,0%,0%,20%,0%,25%,25%,25%,25%,0%,0%,25%,0%,0%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
wizard-spider,15%,8%,9%,10%,-,13%,10%,17%,15%,19%,16%,20%,12%,21%,21%,9%,22%,18%,0%,18%,14%,10%,20%,20%,11%,17%,22%,29%,31%,6%,20%,7%,15%,8%,23%,31%,15%,17%,27%,18%,27%,18%,18%,10%,30%,0%,40%,10%,11%,22%,25%,0%,43%,43%,14%,29%,33%,33%,17%,17%,0%,17%,20%,40%,20%,20%,20%,40%,40%,40%,40%,25%,25%,50%,25%,25%,50%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt41,10%,5%,6%,10%,13%,-,7%,10%,11%,12%,12%,12%,12%,17%,13%,9%,13%,14%,5%,9%,9%,5%,10%,10%,11%,11%,17%,18%,25%,0%,20%,7%,15%,8%,15%,31%,8%,8%,9%,18%,18%,0%,9%,0%,10%,0%,30%,10%,0%,22%,13%,0%,29%,43%,14%,14%,17%,0%,0%,17%,0%,17%,0%,40%,0%,0%,0%,20%,0%,0%,20%,0%,25%,25%,25%,25%,0%,0%,25%,0%,0%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
turla,10%,8%,6%,6%,10%,7%,-,10%,11%,15%,12%,8%,8%,8%,13%,9%,17%,9%,0%,14%,5%,5%,20%,20%,5%,17%,17%,18%,19%,6%,13%,7%,8%,8%,15%,15%,15%,17%,9%,18%,27%,18%,9%,0%,30%,0%,30%,10%,11%,11%,13%,0%,29%,29%,14%,14%,17%,17%,0%,17%,0%,17%,0%,20%,20%,0%,0%,20%,20%,20%,20%,0%,50%,50%,25%,25%,25%,0%,25%,0%,0%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
oilrig,13%,8%,9%,10%,16%,10%,10%,-,15%,19%,16%,16%,12%,17%,21%,9%,22%,18%,0%,18%,14%,10%,20%,20%,5%,17%,22%,29%,25%,6%,20%,7%,15%,8%,23%,23%,15%,17%,27%,9%,27%,18%,18%,10%,30%,0%,40%,10%,11%,22%,25%,0%,43%,43%,14%,29%,33%,33%,17%,17%,0%,17%,20%,40%,20%,20%,20%,40%,40%,40%,40%,25%,25%,50%,25%,25%,50%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
muddywater,13%,10%,13%,10%,13%,10%,10%,14%,-,23%,20%,12%,12%,17%,17%,9%,26%,18%,0%,18%,14%,10%,25%,20%,5%,22%,33%,24%,31%,13%,20%,7%,15%,8%,38%,23%,31%,25%,18%,18%,36%,18%,18%,10%,30%,0%,50%,10%,0%,22%,25%,0%,57%,43%,14%,29%,33%,17%,17%,17%,0%,17%,20%,40%,60%,20%,20%,60%,20%,20%,60%,25%,50%,75%,25%,25%,25%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
patchwork,15%,10%,13%,10%,16%,10%,14%,17%,22%,-,20%,16%,12%,17%,21%,9%,30%,18%,0%,23%,14%,10%,30%,25%,5%,22%,33%,29%,31%,13%,20%,7%,15%,8%,31%,23%,31%,25%,27%,18%,36%,27%,18%,10%,40%,0%,50%,10%,11%,22%,25%,0%,57%,43%,14%,29%,33%,33%,17%,17%,0%,17%,20%,40%,60%,20%,20%,60%,40%,40%,60%,25%,50%,75%,25%,25%,50%,0%,50%,0%,25%,33%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
