ADVERSARY_NAME,apt32,lazarus-group,apt28,unc2452,wizard-spider,apt41,turla,oilrig,muddywater,patchwork,bronze-butler,apt39,apt3,fin6,dragonfly-2.0,threat-group-3390,cobalt-group,menupass,rocke,apt33,apt29,tropic-trooper,ta505,leviathan,ke3chang,magic-hound,fin7,fin8,silence,sandworm-team,soft-cell,apt1,temp.veles,kimsuky,gamaredon-group,blue-mockingbird,apt37,inception,machete,honeybee,gorgon-group,fin4,apt19,promethium,molerats,leafminer,frankenstein,apt38,night-dragon,chimera,darkhotel,stolen-pencil,rancor,fin10,deep-panda,dark-caracal,admin@338,windshift,platinum,copykittens,carbanak,apt18,the-white-company,stealth-falcon,sharpshooter,rtm,naikon,gallmaker,elderwood,blacktech,apt-c-36,whitefly,wirte,ta459,sowbug,poseidon-group,mofang,fin5,darkhydrus,cleaver,apt12,threat-group-1314,strider,silverterrier,putter-panda,equation,axiom,thrip,suckfly,orangeworm,group5,gcman,darkvishnya,apt30,winnti-group,scarlet-mimic,moafee,gold-southfield,dragonfly,apt17,apt16,taidoor,pittytiger,neodymium,monsoon,lotus-blossom,dust-storm,dragonok,charming-kitten,blackoasis,apt34
apt32,-,5%,0%,3%,10%,13%,3%,3%,7%,12%,12%,8%,16%,8%,8%,13%,13%,9%,5%,9%,9%,20%,0%,5%,11%,6%,17%,6%,13%,0%,13%,0%,8%,15%,15%,15%,8%,8%,18%,18%,9%,0%,27%,30%,10%,0%,10%,0%,0%,11%,13%,14%,14%,43%,0%,14%,0%,0%,0%,0%,17%,17%,0%,20%,20%,20%,20%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
lazarus-group,5%,-,0%,0%,10%,7%,10%,0%,4%,4%,4%,8%,8%,4%,8%,9%,9%,0%,5%,5%,9%,15%,5%,10%,11%,6%,11%,0%,6%,0%,0%,0%,0%,15%,8%,8%,8%,8%,9%,18%,18%,0%,18%,20%,10%,0%,0%,0%,0%,0%,25%,0%,0%,14%,0%,14%,0%,0%,0%,0%,17%,17%,0%,0%,20%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,67%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt28,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
unc2452,3%,0%,0%,-,3%,3%,3%,3%,4%,4%,4%,4%,4%,4%,4%,0%,4%,5%,0%,9%,9%,0%,0%,5%,0%,0%,6%,6%,6%,0%,7%,0%,8%,0%,8%,15%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,11%,0%,0%,14%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
wizard-spider,8%,8%,0%,3%,-,10%,10%,3%,7%,8%,8%,8%,16%,8%,8%,9%,13%,5%,5%,9%,14%,20%,10%,5%,11%,6%,17%,6%,13%,0%,7%,0%,8%,15%,15%,15%,8%,8%,18%,18%,9%,0%,18%,20%,10%,0%,10%,0%,0%,11%,13%,0%,14%,29%,0%,14%,0%,0%,0%,0%,17%,17%,0%,20%,20%,20%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,67%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt41,10%,5%,0%,3%,10%,-,3%,3%,7%,12%,12%,8%,20%,8%,8%,13%,13%,9%,5%,9%,14%,15%,0%,5%,11%,6%,17%,6%,13%,0%,13%,0%,8%,15%,15%,15%,8%,8%,18%,18%,9%,0%,27%,20%,10%,0%,10%,0%,0%,11%,13%,0%,14%,29%,14%,14%,0%,0%,0%,0%,17%,17%,0%,20%,20%,20%,20%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,33%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
turla,3%,8%,0%,3%,10%,3%,-,0%,4%,4%,4%,4%,4%,4%,4%,4%,4%,0%,5%,9%,9%,15%,5%,10%,5%,6%,6%,0%,6%,0%,0%,0%,0%,8%,8%,8%,8%,8%,9%,9%,9%,0%,9%,10%,10%,0%,0%,0%,0%,0%,13%,0%,0%,14%,0%,14%,0%,0%,0%,0%,0%,17%,0%,0%,20%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
oilrig,3%,0%,0%,3%,3%,3%,0%,-,4%,4%,4%,4%,4%,4%,4%,0%,4%,5%,0%,5%,5%,0%,0%,0%,0%,0%,6%,6%,6%,0%,7%,0%,8%,0%,8%,8%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,11%,0%,0%,14%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
muddywater,5%,3%,0%,3%,6%,7%,3%,3%,-,12%,12%,8%,8%,8%,8%,9%,13%,5%,5%,9%,14%,5%,0%,5%,5%,6%,11%,6%,13%,0%,7%,0%,8%,8%,15%,8%,15%,8%,18%,18%,9%,0%,9%,10%,10%,0%,10%,0%,0%,11%,13%,0%,14%,29%,0%,14%,0%,0%,0%,0%,0%,17%,0%,20%,20%,20%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
patchwork,8%,3%,0%,3%,6%,10%,3%,3%,11%,-,16%,8%,12%,8%,8%,17%,13%,14%,5%,9%,14%,10%,0%,5%,5%,6%,11%,6%,13%,0%,13%,0%,8%,8%,15%,8%,15%,8%,18%,18%,18%,0%,18%,10%,10%,0%,10%,0%,0%,11%,13%,0%,14%,29%,0%,14%,0%,0%,0%,0%,0%,17%,0%,20%,20%,20%,20%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
bronze-butler,8%,3%,0%,3%,6%,10%,3%,3%,11%,15%,-,8%,12%,8%,8%,17%,13%,9%,5%,9%,14%,10%,0%,5%,5%,6%,11%,6%,13%,0%,13%,0%,8%,8%,15%,8%,15%,8%,18%,18%,9%,0%,18%,10%,10%,0%,10%,0%,0%,11%,13%,0%,14%,29%,0%,14%,0%,0%,0%,0%,0%,33%,0%,20%,20%,20%,20%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt39,5%,5%,0%,3%,6%,7%,3%,3%,7%,8%,8%,-,8%,8%,13%,4%,9%,5%,5%,9%,14%,5%,0%,10%,5%,6%,11%,6%,13%,0%,7%,0%,8%,8%,15%,8%,8%,8%,18%,9%,18%,0%,9%,10%,10%,0%,10%,0%,0%,11%,25%,0%,14%,29%,0%,14%,0%,0%,0%,0%,0%,17%,0%,20%,20%,20%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt3,10%,5%,0%,3%,13%,17%,3%,3%,7%,12%,12%,8%,-,8%,8%,13%,13%,9%,5%,9%,18%,15%,5%,5%,11%,6%,17%,6%,13%,0%,13%,0%,8%,15%,15%,15%,8%,8%,18%,18%,9%,0%,27%,20%,10%,0%,10%,0%,0%,11%,13%,0%,14%,29%,14%,14%,0%,0%,0%,0%,17%,17%,0%,20%,20%,20%,20%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,33%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
fin6,5%,3%,0%,3%,6%,7%,3%,3%,7%,8%,8%,8%,8%,-,8%,4%,9%,5%,5%,9%,9%,5%,0%,5%,5%,6%,11%,6%,13%,0%,7%,0%,8%,8%,15%,8%,8%,8%,18%,9%,9%,0%,9%,10%,10%,0%,10%,0%,0%,11%,13%,0%,14%,29%,0%,14%,0%,0%,0%,0%,0%,17%,0%,20%,20%,20%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
