ADVERSARY_NAME,apt32,lazarus-group,apt28,unc2452,wizard-spider,apt41,turla,oilrig,muddywater,patchwork,bronze-butler,apt39,apt3,fin6,dragonfly-2.0,threat-group-3390,cobalt-group,menupass,rocke,apt33,apt29,tropic-trooper,ta505,leviathan,ke3chang,magic-hound,fin7,fin8,silence,sandworm-team,soft-cell,apt1,temp.veles,kimsuky,gamaredon-group,blue-mockingbird,apt37,inception,machete,honeybee,gorgon-group,fin4,apt19,promethium,molerats,leafminer,frankenstein,apt38,night-dragon,chimera,darkhotel,stolen-pencil,rancor,fin10,deep-panda,dark-caracal,admin@338,windshift,platinum,copykittens,carbanak,apt18,the-white-company,stealth-falcon,sharpshooter,rtm,naikon,gallmaker,elderwood,blacktech,apt-c-36,whitefly,wirte,ta459,sowbug,poseidon-group,mofang,fin5,darkhydrus,cleaver,apt12,threat-group-1314,strider,silverterrier,putter-panda,equation,axiom,thrip,suckfly,orangeworm,group5,gcman,darkvishnya,apt30,winnti-group,scarlet-mimic,moafee,gold-southfield,dragonfly,apt17,apt16,taidoor,pittytiger,neodymium,monsoon,lotus-blossom,dust-storm,dragonok,charming-kitten,blackoasis,apt34
apt32,-,44%,50%,29%,48%,47%,34%,48%,44%,50%,56%,56%,52%,50%,46%,48%,61%,45%,32%,50%,41%,60%,50%,60%,47%,67%,61%,71%,75%,56%,53%,47%,54%,62%,77%,77%,46%,67%,64%,55%,64%,64%,91%,60%,80%,20%,60%,50%,44%,44%,63%,57%,86%,86%,71%,57%,83%,67%,83%,50%,67%,67%,60%,60%,80%,60%,60%,60%,80%,80%,100%,75%,100%,100%,75%,75%,100%,50%,100%,25%,50%,67%,0%,67%,33%,0%,0%,100%,50%,100%,100%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
lazarus-group,43%,-,47%,26%,45%,40%,34%,41%,41%,42%,48%,48%,48%,54%,42%,43%,43%,41%,36%,50%,32%,50%,40%,50%,37%,61%,50%,53%,69%,56%,40%,27%,46%,77%,62%,46%,54%,67%,45%,55%,73%,45%,64%,40%,50%,20%,60%,60%,33%,33%,75%,43%,71%,71%,29%,100%,50%,50%,67%,33%,50%,67%,80%,60%,80%,60%,40%,60%,60%,40%,80%,50%,75%,100%,50%,25%,50%,75%,75%,25%,50%,67%,0%,33%,100%,0%,33%,100%,50%,100%,100%,0%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt28,40%,38%,-,23%,23%,30%,17%,31%,33%,31%,32%,32%,36%,25%,38%,30%,39%,36%,18%,36%,27%,30%,40%,35%,32%,56%,28%,47%,44%,44%,40%,47%,38%,38%,46%,31%,38%,42%,45%,27%,45%,55%,55%,10%,40%,30%,50%,50%,33%,11%,50%,43%,57%,43%,29%,43%,50%,50%,67%,50%,17%,50%,60%,60%,60%,40%,40%,80%,60%,60%,40%,50%,50%,75%,50%,25%,75%,100%,100%,25%,50%,33%,0%,67%,0%,0%,0%,50%,50%,50%,100%,0%,50%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
unc2452,23%,21%,22%,-,32%,30%,24%,17%,26%,23%,32%,24%,24%,33%,25%,30%,22%,32%,32%,23%,23%,20%,25%,20%,21%,33%,33%,35%,38%,31%,27%,27%,38%,31%,46%,46%,15%,17%,18%,27%,27%,18%,27%,30%,20%,10%,30%,30%,44%,44%,25%,0%,43%,57%,14%,29%,33%,0%,0%,67%,67%,50%,20%,60%,0%,0%,0%,40%,0%,0%,40%,25%,50%,25%,75%,50%,0%,25%,25%,25%,0%,33%,33%,33%,33%,0%,0%,50%,100%,50%,50%,0%,50%,0%,100%,0%,0%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
wizard-spider,38%,36%,22%,32%,-,37%,48%,45%,30%,46%,40%,44%,36%,67%,58%,35%,57%,41%,23%,41%,36%,50%,50%,45%,47%,44%,50%,71%,63%,31%,27%,27%,31%,54%,62%,54%,38%,50%,64%,55%,55%,45%,55%,50%,70%,0%,60%,30%,56%,67%,75%,29%,71%,86%,29%,57%,50%,67%,33%,33%,33%,67%,80%,60%,60%,60%,60%,60%,80%,80%,80%,25%,50%,75%,25%,50%,100%,25%,75%,0%,50%,100%,0%,33%,100%,0%,33%,100%,100%,100%,50%,0%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt41,35%,31%,28%,29%,35%,-,21%,38%,33%,42%,48%,52%,56%,46%,42%,39%,43%,45%,27%,32%,27%,45%,25%,35%,47%,50%,44%,53%,75%,44%,40%,40%,46%,46%,46%,62%,31%,33%,45%,64%,36%,27%,55%,40%,40%,20%,40%,50%,11%,56%,63%,43%,57%,86%,29%,57%,50%,17%,50%,50%,33%,83%,40%,60%,40%,60%,40%,60%,20%,20%,40%,50%,50%,50%,100%,50%,25%,50%,50%,25%,25%,33%,0%,67%,33%,33%,67%,50%,100%,50%,100%,0%,100%,50%,100%,0%,0%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
turla,25%,26%,16%,23%,45%,20%,-,38%,30%,35%,36%,36%,28%,29%,33%,22%,39%,23%,18%,41%,27%,35%,40%,45%,42%,50%,39%,47%,31%,31%,27%,40%,15%,38%,46%,31%,46%,50%,45%,27%,55%,45%,36%,10%,60%,0%,50%,20%,56%,44%,50%,14%,57%,43%,43%,43%,67%,50%,17%,33%,17%,50%,40%,40%,60%,40%,40%,60%,60%,60%,40%,0%,75%,75%,50%,75%,75%,0%,50%,25%,50%,67%,0%,33%,100%,0%,0%,50%,50%,100%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
oilrig,35%,31%,28%,16%,42%,37%,38%,-,41%,42%,36%,52%,44%,58%,54%,39%,52%,50%,14%,59%,27%,40%,45%,50%,47%,61%,33%,71%,56%,50%,40%,40%,62%,46%,46%,38%,38%,50%,55%,18%,36%,55%,36%,10%,60%,50%,50%,40%,33%,44%,50%,86%,71%,71%,43%,71%,83%,83%,67%,17%,0%,67%,60%,80%,40%,40%,40%,60%,80%,80%,60%,50%,50%,75%,50%,75%,100%,25%,75%,25%,50%,33%,0%,33%,0%,0%,33%,100%,50%,50%,100%,50%,50%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
muddywater,30%,28%,28%,23%,26%,30%,28%,38%,-,50%,56%,40%,40%,33%,29%,30%,52%,41%,23%,64%,32%,45%,50%,35%,32%,56%,50%,47%,63%,56%,40%,33%,31%,38%,77%,46%,77%,67%,45%,36%,55%,36%,64%,30%,60%,50%,70%,20%,11%,44%,63%,43%,86%,57%,14%,57%,67%,33%,50%,50%,33%,50%,60%,80%,100%,60%,60%,100%,40%,40%,80%,75%,75%,100%,75%,50%,50%,25%,75%,25%,50%,33%,0%,33%,33%,0%,0%,50%,50%,50%,0%,0%,50%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
patchwork,33%,28%,25%,19%,39%,37%,31%,38%,48%,-,56%,40%,44%,42%,46%,35%,61%,50%,27%,45%,41%,45%,55%,60%,11%,50%,50%,59%,69%,44%,47%,33%,54%,46%,62%,38%,62%,50%,64%,64%,64%,45%,55%,50%,90%,10%,70%,30%,33%,44%,75%,43%,71%,86%,29%,57%,67%,67%,33%,33%,17%,50%,100%,60%,100%,80%,80%,80%,100%,80%,80%,50%,50%,100%,50%,50%,100%,50%,75%,0%,50%,33%,0%,0%,33%,0%,33%,50%,100%,0%,50%,0%,50%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
