ADVERSARY_NAME,apt32,apt28,turla,lazarus-group,oilrig,apt41,gamaredon-group,dragonfly-2.0,unc2452,tropic-trooper,threat-group-3390,wizard-spider,fin6,sandworm-team,frankenstein,apt3,menupass,rocke,muddywater,bronze-butler,apt39,apt37,soft-cell,patchwork,ke3chang,silence,stealth-falcon,magic-hound,honeybee,inception,cobalt-group,apt38,leviathan,darkhotel,blue-mockingbird,apt33,apt19,kimsuky,fin8,darkvishnya,chimera,apt1,admin@338,leafminer,fin7,fin5,apt18,sowbug,platinum,night-dragon,molerats,elderwood,dark-caracal,apt29,whitefly,ta505,poseidon-group,gorgon-group,gold-southfield,temp.veles,suckfly,sharpshooter,fin10,dust-storm,deep-panda,axiom,apt-c-36,winnti-group,windshift,wirte,the-white-company,stolen-pencil,rtm,machete,group5,dragonfly,darkhydrus,carbanak,blacktech,thrip,threat-group-1314,ta459,rancor,putter-panda,pittytiger,promethium,naikon,mofang,gallmaker,fin4,equation,blackoasis,apt17,apt12,taidoor,strider,silverterrier,scarlet-mimic,orangeworm,neodymium,moafee,monsoon,lotus-blossom,gcman,dragonok,copykittens,cleaver,charming-kitten,apt34,apt30,apt16
apt32,-,4%,12%,8%,5%,14%,10%,10%,11%,5%,11%,13%,6%,7%,7%,7%,14%,7%,7%,7%,0%,15%,8%,17%,0%,27%,0%,10%,30%,11%,22%,11%,13%,13%,25%,13%,25%,14%,29%,0%,14%,0%,0%,17%,17%,0%,17%,0%,20%,20%,20%,20%,20%,20%,25%,25%,0%,25%,0%,0%,0%,33%,0%,33%,0%,0%,33%,0%,50%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt28,4%,-,8%,4%,14%,14%,14%,10%,16%,16%,16%,13%,13%,20%,20%,7%,21%,21%,14%,7%,7%,8%,17%,8%,0%,18%,0%,10%,20%,22%,11%,0%,38%,25%,13%,25%,25%,0%,29%,0%,29%,0%,0%,17%,17%,17%,33%,0%,0%,40%,40%,20%,20%,20%,25%,25%,0%,25%,0%,33%,33%,0%,33%,33%,0%,0%,33%,50%,0%,50%,0%,0%,0%,50%,50%,0%,50%,50%,0%,0%,0%,0%,0%,100%,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
turla,12%,8%,-,8%,9%,14%,14%,5%,11%,11%,16%,13%,6%,13%,13%,7%,14%,14%,14%,7%,0%,15%,8%,17%,0%,27%,0%,10%,40%,11%,22%,11%,25%,25%,25%,13%,38%,14%,29%,0%,14%,0%,0%,17%,17%,0%,17%,0%,20%,20%,40%,20%,20%,20%,25%,25%,0%,50%,0%,0%,0%,33%,0%,33%,0%,0%,33%,0%,0%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
lazarus-group,8%,4%,8%,-,5%,9%,10%,5%,5%,5%,11%,13%,6%,7%,7%,7%,7%,7%,7%,0%,0%,8%,8%,17%,0%,18%,0%,10%,20%,11%,11%,11%,13%,13%,25%,13%,25%,0%,29%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,20%,20%,20%,20%,25%,25%,0%,25%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
oilrig,4%,12%,8%,4%,-,9%,10%,5%,16%,11%,16%,13%,13%,20%,13%,7%,21%,14%,14%,7%,7%,8%,17%,8%,0%,18%,0%,10%,20%,11%,11%,0%,38%,25%,13%,25%,25%,0%,29%,0%,29%,0%,0%,17%,17%,17%,33%,0%,0%,40%,40%,20%,20%,20%,25%,25%,0%,25%,0%,33%,33%,0%,33%,33%,0%,0%,33%,0%,0%,50%,0%,0%,0%,50%,50%,0%,0%,50%,0%,0%,0%,0%,0%,100%,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt41,12%,12%,12%,8%,9%,-,10%,10%,11%,5%,16%,19%,13%,13%,7%,7%,14%,14%,7%,0%,7%,15%,17%,25%,0%,36%,0%,10%,30%,11%,22%,11%,38%,13%,25%,25%,25%,14%,43%,0%,29%,0%,0%,17%,17%,17%,33%,0%,20%,40%,20%,20%,20%,20%,25%,25%,0%,25%,0%,33%,33%,33%,33%,33%,0%,0%,33%,50%,0%,0%,0%,0%,0%,50%,50%,0%,0%,50%,0%,0%,0%,0%,0%,100%,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
gamaredon-group,8%,12%,12%,8%,9%,9%,-,10%,11%,16%,16%,13%,6%,13%,20%,7%,14%,14%,14%,7%,0%,8%,8%,17%,0%,18%,0%,10%,30%,22%,11%,11%,25%,25%,25%,13%,38%,0%,29%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,40%,20%,20%,20%,25%,25%,0%,50%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,50%,0%,0%,0%,50%,50%,0%,50%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
dragonfly-2.0,8%,8%,4%,4%,5%,9%,10%,-,11%,5%,11%,13%,6%,7%,7%,0%,14%,0%,0%,7%,7%,0%,8%,8%,0%,18%,0%,0%,10%,11%,0%,11%,13%,0%,13%,13%,13%,0%,29%,0%,14%,0%,0%,0%,0%,17%,17%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,25%,0%,33%,33%,0%,33%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
unc2452,8%,12%,8%,4%,14%,9%,10%,10%,-,11%,16%,13%,13%,20%,13%,7%,29%,14%,14%,14%,7%,8%,17%,8%,0%,18%,0%,10%,20%,11%,11%,0%,38%,25%,13%,25%,25%,0%,29%,0%,29%,0%,0%,17%,17%,17%,33%,0%,0%,40%,40%,20%,20%,20%,25%,25%,0%,25%,0%,33%,33%,0%,33%,33%,0%,0%,33%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,50%,0%,0%,0%,0%,0%,100%,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
tropic-trooper,4%,12%,8%,4%,9%,5%,14%,5%,11%,-,11%,6%,6%,13%,20%,7%,14%,14%,14%,7%,0%,8%,8%,8%,0%,9%,0%,10%,20%,22%,11%,0%,25%,25%,13%,13%,25%,0%,14%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,40%,20%,20%,20%,25%,25%,0%,25%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,50%,0%,0%,0%,50%,50%,0%,50%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
