ADVERSARY_NAME,ADVERSARY_TECHNIQUES_ITEMS
apt32,26
apt28,26
turla,25
lazarus-group,24
oilrig,22
apt41,22
gamaredon-group,21
dragonfly-2.0,20
unc2452,19
tropic-trooper,19
threat-group-3390,19
wizard-spider,16
fin6,16
sandworm-team,15
frankenstein,15
apt3,15
menupass,14
rocke,14
muddywater,14
bronze-butler,14
apt39,14
apt37,13
soft-cell,12
patchwork,12
ke3chang,12
silence,11
stealth-falcon,10
magic-hound,10
honeybee,10
inception,9
cobalt-group,9
apt38,9
leviathan,8
darkhotel,8
blue-mockingbird,8
apt33,8
apt19,8
kimsuky,7
fin8,7
darkvishnya,7
chimera,7
apt1,7
admin@338,6
leafminer,6
fin7,6
fin5,6
apt18,6
sowbug,5
platinum,5
night-dragon,5
molerats,5
elderwood,5
dark-caracal,5
apt29,5
whitefly,4
ta505,4
poseidon-group,4
gorgon-group,4
gold-southfield,4
temp.veles,3
suckfly,3
sharpshooter,3
fin10,3
dust-storm,3
deep-panda,3
axiom,3
apt-c-36,3
winnti-group,2
windshift,2
wirte,2
the-white-company,2
stolen-pencil,2
rtm,2
machete,2
group5,2
dragonfly,2
darkhydrus,2
carbanak,2
blacktech,2
thrip,1
threat-group-1314,1
ta459,1
rancor,1
putter-panda,1
pittytiger,1
promethium,1
naikon,1
mofang,1
gallmaker,1
fin4,1
equation,1
blackoasis,1
apt17,1
apt12,1
taidoor,0
strider,0
silverterrier,0
scarlet-mimic,0
orangeworm,0
neodymium,0
moafee,0
monsoon,0
lotus-blossom,0
gcman,0
dragonok,0
copykittens,0
cleaver,0
charming-kitten,0
apt34,0
apt30,0
apt16,0
