ADVERSARY_NAME,apt32,apt28,turla,lazarus-group,oilrig,apt41,gamaredon-group,dragonfly-2.0,unc2452,tropic-trooper,threat-group-3390,wizard-spider,fin6,sandworm-team,frankenstein,apt3,menupass,rocke,muddywater,bronze-butler,apt39,apt37,soft-cell,patchwork,ke3chang,silence,stealth-falcon,magic-hound,honeybee,inception,cobalt-group,apt38,leviathan,darkhotel,blue-mockingbird,apt33,apt19,kimsuky,fin8,darkvishnya,chimera,apt1,admin@338,leafminer,fin7,fin5,apt18,sowbug,platinum,night-dragon,molerats,elderwood,dark-caracal,apt29,whitefly,ta505,poseidon-group,gorgon-group,gold-southfield,temp.veles,suckfly,sharpshooter,fin10,dust-storm,deep-panda,axiom,apt-c-36,winnti-group,windshift,wirte,the-white-company,stolen-pencil,rtm,machete,group5,dragonfly,darkhydrus,carbanak,blacktech,thrip,threat-group-1314,ta459,rancor,putter-panda,pittytiger,promethium,naikon,mofang,gallmaker,fin4,equation,blackoasis,apt17,apt12,taidoor,strider,silverterrier,scarlet-mimic,orangeworm,neodymium,moafee,monsoon,lotus-blossom,gcman,dragonok,copykittens,cleaver,charming-kitten,apt34,apt30,apt16
apt32,-,27%,48%,58%,45%,55%,38%,60%,37%,53%,63%,63%,44%,53%,60%,60%,64%,43%,64%,43%,50%,54%,67%,75%,67%,64%,70%,70%,60%,44%,67%,44%,63%,50%,50%,63%,88%,57%,86%,43%,43%,43%,83%,83%,67%,33%,67%,80%,80%,20%,60%,80%,60%,60%,100%,50%,50%,50%,0%,33%,67%,67%,67%,67%,67%,33%,100%,0%,100%,50%,50%,0%,50%,50%,50%,50%,0%,0%,50%,0%,100%,100%,100%,100%,0%,100%,100%,100%,100%,0%,0%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt28,27%,-,32%,29%,32%,32%,48%,35%,42%,47%,47%,19%,38%,40%,60%,33%,50%,43%,50%,43%,43%,46%,42%,58%,33%,36%,20%,50%,60%,67%,44%,22%,75%,50%,25%,75%,25%,29%,57%,14%,43%,43%,33%,33%,50%,33%,67%,40%,40%,60%,80%,60%,80%,60%,75%,50%,50%,50%,50%,33%,67%,33%,33%,100%,33%,67%,67%,100%,0%,100%,50%,50%,0%,100%,100%,0%,50%,50%,100%,0%,0%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
turla,46%,31%,-,46%,55%,36%,48%,40%,47%,47%,53%,38%,31%,47%,47%,60%,50%,43%,57%,57%,36%,69%,50%,58%,67%,55%,60%,60%,80%,56%,33%,56%,38%,75%,50%,38%,75%,57%,57%,14%,43%,71%,83%,83%,33%,33%,67%,40%,60%,20%,80%,60%,80%,20%,50%,50%,75%,100%,0%,0%,0%,100%,33%,100%,67%,0%,67%,50%,50%,100%,50%,0%,50%,100%,50%,50%,0%,0%,0%,0%,0%,0%,100%,100%,0%,100%,100%,100%,100%,0%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
lazarus-group,54%,27%,44%,-,41%,45%,38%,50%,37%,42%,47%,50%,25%,53%,67%,67%,43%,43%,71%,43%,21%,69%,58%,83%,58%,36%,80%,80%,70%,67%,33%,67%,50%,63%,63%,50%,75%,57%,57%,14%,43%,43%,67%,50%,50%,0%,67%,40%,40%,20%,60%,80%,80%,60%,50%,50%,25%,50%,0%,33%,0%,33%,33%,100%,67%,0%,100%,50%,50%,50%,100%,0%,50%,50%,50%,50%,0%,0%,50%,0%,0%,100%,100%,100%,0%,100%,100%,100%,100%,0%,0%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
oilrig,38%,27%,48%,38%,-,45%,33%,40%,42%,53%,58%,44%,50%,47%,60%,47%,57%,43%,71%,29%,57%,38%,67%,42%,58%,36%,80%,70%,40%,33%,44%,33%,63%,63%,38%,50%,75%,14%,57%,29%,71%,71%,67%,50%,67%,83%,83%,20%,20%,60%,100%,40%,40%,40%,75%,50%,75%,50%,25%,67%,67%,33%,67%,33%,67%,0%,67%,50%,0%,100%,0%,0%,0%,50%,100%,0%,0%,50%,0%,0%,0%,0%,100%,100%,100%,0%,100%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt41,46%,27%,32%,42%,45%,-,24%,40%,32%,47%,53%,50%,25%,47%,40%,47%,50%,43%,57%,21%,43%,38%,75%,58%,33%,45%,30%,50%,40%,33%,56%,44%,75%,25%,75%,50%,50%,29%,71%,29%,71%,43%,67%,50%,33%,33%,83%,40%,40%,80%,40%,60%,40%,80%,50%,75%,25%,50%,50%,67%,67%,67%,67%,67%,33%,33%,67%,50%,0%,50%,50%,0%,0%,50%,50%,0%,0%,50%,100%,0%,0%,100%,100%,100%,100%,0%,100%,100%,100%,100%,0%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
gamaredon-group,31%,38%,40%,33%,32%,23%,-,35%,32%,53%,32%,31%,25%,33%,67%,47%,36%,36%,57%,50%,29%,54%,42%,67%,33%,45%,40%,60%,70%,67%,22%,22%,38%,50%,38%,25%,63%,57%,43%,0%,57%,29%,33%,33%,50%,17%,67%,60%,20%,20%,60%,40%,80%,20%,50%,50%,0%,100%,0%,0%,0%,67%,33%,100%,0%,0%,67%,0%,0%,100%,0%,0%,0%,100%,100%,0%,50%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,100%,100%,0%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
dragonfly-2.0,46%,27%,32%,42%,36%,36%,33%,-,32%,32%,47%,44%,31%,33%,33%,47%,50%,21%,36%,50%,57%,31%,58%,58%,58%,45%,50%,60%,40%,33%,11%,33%,25%,25%,13%,25%,63%,29%,57%,14%,43%,43%,33%,50%,50%,67%,67%,40%,40%,40%,40%,40%,80%,0%,50%,25%,0%,50%,25%,67%,33%,33%,67%,67%,33%,0%,33%,0%,100%,50%,0%,0%,50%,0%,50%,50%,100%,50%,0%,0%,0%,0%,100%,0%,100%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
unc2452,27%,31%,36%,29%,36%,27%,29%,30%,-,32%,37%,38%,38%,40%,47%,53%,57%,50%,57%,43%,43%,38%,58%,42%,42%,36%,50%,50%,60%,56%,22%,22%,63%,50%,50%,50%,38%,43%,71%,0%,57%,29%,33%,67%,33%,33%,83%,40%,20%,60%,80%,40%,60%,60%,50%,75%,25%,50%,25%,33%,33%,33%,33%,100%,100%,33%,67%,50%,50%,100%,0%,0%,0%,50%,50%,0%,0%,50%,50%,0%,0%,0%,100%,100%,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
tropic-trooper,38%,35%,36%,33%,45%,41%,48%,30%,32%,-,42%,31%,19%,40%,73%,53%,43%,43%,64%,36%,29%,54%,42%,58%,42%,27%,40%,70%,60%,78%,44%,33%,50%,75%,25%,38%,63%,29%,29%,29%,43%,71%,83%,50%,33%,17%,67%,60%,20%,20%,80%,60%,40%,40%,50%,50%,50%,75%,0%,0%,33%,67%,33%,67%,33%,0%,67%,50%,0%,100%,50%,0%,0%,50%,50%,0%,50%,0%,50%,0%,0%,100%,100%,100%,0%,0%,100%,100%,100%,0%,0%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
