X_AXIS,apt32,lazarus-group,apt28,unc2452,wizard-spider,apt41,turla,oilrig,muddywater,patchwork,bronze-butler,apt39,apt3,fin6,dragonfly-2.0,threat-group-3390,cobalt-group,menupass,rocke,apt33,apt29,tropic-trooper,ta505,leviathan,ke3chang,magic-hound,fin7,fin8,silence,sandworm-team,soft-cell,apt1,temp.veles,kimsuky,gamaredon-group,blue-mockingbird,apt37,inception,machete,honeybee,gorgon-group,fin4,apt19,promethium,molerats,leafminer,frankenstein,apt38,night-dragon,chimera,darkhotel,stolen-pencil,rancor,fin10,deep-panda,dark-caracal,admin@338,windshift,platinum,copykittens,carbanak,apt18,the-white-company,stealth-falcon,sharpshooter,rtm,naikon,gallmaker,elderwood,blacktech,apt-c-36,whitefly,wirte,ta459,sowbug,poseidon-group,mofang,fin5,darkhydrus,cleaver,apt12,threat-group-1314,strider,silverterrier,putter-panda,equation,axiom,thrip,suckfly,orangeworm,group5,gcman,darkvishnya,apt30,winnti-group,scarlet-mimic,moafee,gold-southfield,dragonfly,apt17,apt16,taidoor,pittytiger,neodymium,monsoon,lotus-blossom,dust-storm,dragonok,charming-kitten,blackoasis,apt34
apt32,-,4,3,3,6,4,4,5,5,6,5,5,3,6,5,2,7,4,0,5,3,2,6,5,2,4,6,5,7,2,3,1,2,1,4,4,3,3,3,3,4,3,2,1,5,1,5,1,1,2,2,0,4,3,1,2,2,2,1,1,0,1,1,2,2,1,1,2,2,2,3,1,2,3,1,1,2,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lazarus-group,4,-,3,2,3,2,3,3,4,4,4,2,2,3,3,2,4,3,0,3,2,2,4,4,1,4,4,3,4,2,2,1,1,1,3,2,3,3,1,2,4,2,2,1,3,0,4,1,0,1,2,0,3,2,1,2,2,1,1,1,0,1,1,1,2,1,1,2,1,1,2,1,2,3,1,1,1,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apt28,3,3,-,2,3,2,2,3,4,4,3,2,2,3,3,2,4,3,0,2,2,2,4,3,1,3,4,3,3,1,2,1,1,1,2,2,3,2,1,1,3,1,2,1,2,0,3,1,0,1,2,0,2,2,1,2,2,1,1,1,0,1,1,1,2,1,1,3,1,1,1,1,1,2,1,1,1,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unc2452,3,2,2,-,3,3,2,3,3,3,3,2,3,3,3,2,3,3,0,2,2,1,2,2,1,2,3,3,3,0,3,1,2,1,2,3,1,1,1,1,2,0,1,0,1,0,3,1,0,2,1,0,2,3,1,1,1,0,0,1,0,1,0,2,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wizard-spider,6,3,3,3,-,4,3,5,4,5,4,5,3,5,5,2,5,4,0,4,3,2,4,4,2,3,4,5,5,1,3,1,2,1,3,4,2,2,3,2,3,2,2,1,3,0,4,1,1,2,2,0,3,3,1,2,2,2,1,1,0,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,2,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apt41,4,2,2,3,4,-,2,3,3,3,3,3,3,4,3,2,3,3,1,2,2,1,2,2,2,2,3,3,4,0,3,1,2,1,2,4,1,1,1,2,2,0,1,0,1,0,3,1,0,2,1,0,2,3,1,1,1,0,0,1,0,1,0,2,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
turla,4,3,2,2,3,2,-,3,3,4,3,2,2,2,3,2,4,2,0,3,1,1,4,4,1,3,3,3,3,1,2,1,1,1,2,2,2,2,1,2,3,2,1,0,3,0,3,1,1,1,1,0,2,2,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,2,2,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oilrig,5,3,3,3,5,3,3,-,4,5,4,4,3,4,5,2,5,4,0,4,3,2,4,4,1,3,4,5,4,1,3,1,2,1,3,3,2,2,3,1,3,2,2,1,3,0,4,1,1,2,2,0,3,3,1,2,2,2,1,1,0,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,2,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muddywater,5,4,4,3,4,3,3,4,-,6,5,3,3,4,4,2,6,4,0,4,3,2,5,4,1,4,6,4,5,2,3,1,2,1,5,3,4,3,2,2,4,2,2,1,3,0,5,1,0,2,2,0,4,3,1,2,2,1,1,1,0,1,1,2,3,1,1,3,1,1,3,1,2,3,1,1,1,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
patchwork,6,4,4,3,5,3,4,5,6,-,5,4,3,4,5,2,7,4,0,5,3,2,6,5,1,4,6,5,5,2,3,1,2,1,4,3,4,3,3,2,4,3,2,1,4,0,5,1,1,2,2,0,4,3,1,2,2,2,1,1,0,1,1,2,3,1,1,3,2,2,3,1,2,3,1,1,2,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze-butler,5,4,3,3,4,3,3,4,5,5,-,4,3,4,5,3,5,4,1,4,4,2,4,4,1,4,5,4,5,2,3,1,2,1,4,3,3,3,3,2,4,2,2,1,3,0,5,1,0,2,2,0,4,3,1,2,2,1,1,1,0,2,1,2,2,1,1,2,1,1,3,1,2,3,1,1,1,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apt39,5,2,2,2,5,3,2,4,3,4,4,-,2,4,5,1,4,3,1,4,4,1,3,3,1,2,3,4,4,1,2,0,2,1,2,3,1,2,4,1,2,2,2,1,3,0,3,0,1,2,1,0,2,2,1,1,1,2,1,1,0,0,1,2,1,1,1,2,2,2,2,1,1,2,0,1,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apt3,3,2,2,3,3,3,2,3,3,3,3,2,-,3,3,2,3,3,0,2,2,1,2,2,1,2,3,3,3,0,3,1,2,1,2,3,1,1,1,1,2,0,1,0,1,0,3,1,0,2,1,0,2,3,1,1,1,0,0,1,0,1,0,2,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
