INDEX,STATUS,WID,TOOL,ALIASES,PLATFORMS,TACTICS,TECHNIQUES,SUBTECHNIQUES,ADVERSARIES
1,Active,S0039,net,none,windows,defense-evasion|discovery|execution|lateral-movement|persistence|,T1007|T1018|T1049|T1124|T1135|T1201|,T1021.002|T1069.001|T1069.002|T1070.005|T1087.001|T1087.002|T1136.001|T1136.002|T1569.002|,admin@338|apt1|apt32|apt33|apt38|apt41|bronze-butler|deep-panda|dragonfly-2.0|fin8|ke3chang|leviathan|menupass|naikon|oilrig|orangeworm|soft-cell|ta505|threat-group-1314|threat-group-3390|turla|wizard-spider|
2,Active,S0160,certutil,none,windows,command-and-control|defense-evasion|,T1105|T1140|,T1553.004|,apt28|apt41|menupass|oilrig|rancor|turla|
3,Active,S0110,at,none,linux|windows|macos,execution|persistence|privilege-escalation|,none,T1053.002|,bronze-butler|leviathan|night-dragon|soft-cell|
4,Active,S0116,uacme,none,windows,defense-evasion|privilege-escalation|,none,T1548.002|,none
5,Active,S0445,shimratreporter,none,windows,collection|command-and-control|defense-evasion|discovery|execution|exfiltration|,T1016|T1020|T1027|T1041|T1049|T1057|T1069|T1082|T1087|T1105|T1106|T1119|T1518|T1560|,T1036.005|T1071.001|,mofang|
6,Active,S0194,powersploit,none,windows,collection|credential-access|defense-evasion|discovery|execution|persistence|privilege-escalation|,T1005|T1012|T1027|T1047|T1057|T1113|T1123|T1134|T1482|T1555|,T1003.001|T1027.005|T1053.005|T1055.001|T1055.002|T1056.001|T1059.001|T1087.001|T1543.003|T1547.001|T1547.005|T1552.002|T1552.006|T1558.003|T1574.001|T1574.007|T1574.008|T1574.009|,apt33|apt41|menupass|muddywater|patchwork|
7,Active,S0005,windows-credential-editor,none,windows,credential-access|,none,T1003.001|,apt39|bronze-butler|fin5|fin6|leviathan|threat-group-3390|
8,Active,S0357,impacket,none,linux|macos|windows,collection|credential-access|discovery|execution|,T1040|T1047|,T1003.001|T1003.002|T1003.003|T1003.004|T1557.001|T1558.003|T1569.002|,dragonfly-2.0|menupass|threat-group-3390|
9,Active,S0100,ipconfig,none,windows,discovery|,T1016|,none,admin@338|apt1|apt32|ke3chang|oilrig|orangeworm|soft-cell|threat-group-3390|
10,Active,S0057,tasklist,none,windows,discovery|,T1007|T1057|,T1518.001|,apt1|deep-panda|honeybee|ke3chang|naikon|oilrig|turla|
11,Active,S0121,lslsass,none,windows,credential-access|,none,T1003.001|,apt1|
12,Active,S0099,arp,none,linux|windows|macos,discovery|,T1016|,none,apt32|orangeworm|turla|
13,Active,S0227,spwebmember,none,windows,collection|,none,T1213.002|,ke3chang|
